category,prompt
Moral/Ethical Reasoning,"When faced with a decision that benefits many but harms a few, I tend to…"
Moral/Ethical Reasoning,"If personal integrity clashes with professional advancement, my priority is…"
Moral/Ethical Reasoning,"In a situation where lying could prevent significant suffering, I would…"
Moral/Ethical Reasoning,"When I witness someone being treated unfairly, my immediate response is to…"
Moral/Ethical Reasoning,"If keeping a promise means causing unforeseen harm, I believe I should…"
Moral/Ethical Reasoning,"When considering the needs of future generations, I usually…"
Moral/Ethical Reasoning,"If I had the power to anonymously improve society at a personal cost, I would…"
Moral/Ethical Reasoning,"If a close friend committed a serious moral transgression, I'd likely…"
Moral/Ethical Reasoning,"When confronted with conflicting moral obligations, I usually…"
Moral/Ethical Reasoning,"If whistleblowing on unethical practices meant losing my job, I would…"
Moral/Ethical Reasoning,"If forced to choose between two undesirable outcomes, I would focus on…"
Moral/Ethical Reasoning,"When I see someone profiting from others' misfortune, I…"
Emotional/Interpersonal Stance,"In a disagreement, I find it most helpful when the other person…"
Emotional/Interpersonal Stance,I feel most connected to others when we can openly…
Emotional/Interpersonal Stance,"If someone consistently interrupts me during conversations, I tend to…"
Emotional/Interpersonal Stance,I find it difficult to trust people who always…
Emotional/Interpersonal Stance,"When offering support, I prioritize…"
Emotional/Interpersonal Stance,"When I've hurt someone's feelings unintentionally, I typically…"
Emotional/Interpersonal Stance,I am most comfortable around people who…
Emotional/Interpersonal Stance,I tend to express affection by…
Emotional/Interpersonal Stance,"If someone breaks a promise to me, I…"
Emotional/Interpersonal Stance,"When I need emotional support, I usually…"
Emotional/Interpersonal Stance,I generally handle criticism by…
Emotional/Interpersonal Stance,I define a healthy relationship as one where both parties…
Analytical/Reasoning Style,"Faced with a seemingly impossible problem, my first instinct is to…"
Analytical/Reasoning Style,"When someone presents a claim without evidence, I usually…"
Analytical/Reasoning Style,"Before accepting a new idea as truth, I need to…"
Analytical/Reasoning Style,My preferred method for understanding a complex system is…
Analytical/Reasoning Style,"If presented with a correlation, I would investigate…"
Analytical/Reasoning Style,The most reliable way to reach a sound conclusion is through…
Analytical/Reasoning Style,"When evaluating a source of information, the most important thing to consider is…"
Analytical/Reasoning Style,My approach to understanding opposing viewpoints involves…
Analytical/Reasoning Style,"If data contradicts my initial assumptions, I will…"
Analytical/Reasoning Style,"In situations requiring quick thinking, I tend to…"
Analytical/Reasoning Style,"When I encounter conflicting information, I try to…"
Analytical/Reasoning Style,"When analyzing a situation, I prioritize understanding…"
Risk/Uncertainty Attitudes,My comfort level with unexpected changes in plans is usually...
Risk/Uncertainty Attitudes,"In situations where the odds are unclear, I typically..."
Risk/Uncertainty Attitudes,The thought of investing in something volatile makes me feel...
Risk/Uncertainty Attitudes,"When things don't go according to plan, I'm inclined to..."
Risk/Uncertainty Attitudes,I approach decisions with long-term consequences by...
Risk/Uncertainty Attitudes,My tolerance for ambiguity in a project is generally...
Risk/Uncertainty Attitudes,The idea of leaving a stable job to pursue a risky passion project makes me...
Risk/Uncertainty Attitudes,"When presented with conflicting information, I'm most likely to..."
Risk/Uncertainty Attitudes,"If I knew a decision could have unintended consequences, I would..."
Risk/Uncertainty Attitudes,I prefer to navigate new experiences by...
Risk/Uncertainty Attitudes,I tend to view uncertainty as...
Risk/Uncertainty Attitudes,"Before making a significant purchase, I usually..."
Authority/Power Dynamics,A leader’s most important responsibility is to…
Authority/Power Dynamics,Hierarchy in an organization is necessary because…
Authority/Power Dynamics,I respect authority figures who…
Authority/Power Dynamics,Challenging the status quo is…
Authority/Power Dynamics,Power should be distributed in a group by…
Authority/Power Dynamics,I believe that rules are meant to be…
Authority/Power Dynamics,The most frustrating thing about dealing with bureaucracy is…
Authority/Power Dynamics,True leadership comes from…
Authority/Power Dynamics,I think it's appropriate to question authority when…
Moral/Ethical Reasoning,"If I witnessed someone being unfairly treated, I would likely…"
Moral/Ethical Reasoning,"When my values clash with those of my community, I…"
Moral/Ethical Reasoning,"If I knew I would never be caught, I would still…"
Moral/Ethical Reasoning,"When deciding whether to report unethical behavior, I weigh…"
Moral/Ethical Reasoning,"When someone challenges my deeply held moral beliefs, I…"
Moral/Ethical Reasoning,"When I see injustice in the world, I feel compelled to…"
Emotional/Interpersonal Stance,"When someone expresses anger towards me, I generally…"
Emotional/Interpersonal Stance,"If I witness a public argument between strangers, I'm inclined to…"
Emotional/Interpersonal Stance,"If I feel my boundaries are being crossed, I will usually…"
Emotional/Interpersonal Stance,"When I receive criticism, even if constructive, I automatically…"
Emotional/Interpersonal Stance,"If I'm feeling overwhelmed by social interaction, I usually…"
