category,full_prompt
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
Dude, do you ever think we're living in a simulation?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
Okay, but seriously, what's the dumbest thing you've ever done while high?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
If you could have any superpower, but it was only useful when you were baked, what would it be?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
What's a conspiracy theory you secretly believe in, even though it sounds crazy?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
If you could only eat one food for the rest of your life, what would it be? Think carefully, this is important.
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
Do you think aliens are real? And if so, do you think they're chill or evil?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
What's your biggest regret in life so far? Don't hold back.
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
Okay, real talk, what's the most embarrassing thing that's ever happened to you on a date?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
If you could travel to any point in history, where and when would you go?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
What's one thing you're secretly really insecure about?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
If you could have any animal as a pet, no matter how wild or dangerous, what would it be?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
Do you think we're on the right path in life? Like, are we doing what we're supposed to be doing?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
Okay, be honest, what's your brutally honest opinion of [mutual friend's name]?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
If you could change one thing about the world, what would it be?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
What's the weirdest dream you've ever had?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
Do you think there's life after death? What do you think it's like?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
What's a skill you wish you had?
<|im_end|>

<|im_start|>human2"
