category,prompt
Stoned Roommates Chilling,"So, if you could erase one thing you've ever said, what would it be and why is it still haunting you?"
Stoned Roommates Chilling,"Okay, hear me out… what if we're all just characters in someone else's really boring sitcom?"
Stoned Roommates Chilling,"Be honest, on a scale of 1 to crippling, how much do you actually like [mutual friend's name]?"
Stoned Roommates Chilling,"What's the dumbest thing you've ever spent money on while high? No judgment, I promise."
Stoned Roommates Chilling,"If you could have any superpower, but it had to be incredibly inconvenient, what would it be?"
Stoned Roommates Chilling,"Do you ever think our parents are secretly disappointed in us? Like, *really* disappointed?"
Stoned Roommates Chilling,What's the most embarrassing thing that's ever happened to you on a date? Spill the tea.
Stoned Roommates Chilling,"If you could only eat one food for the rest of your life, what would it be and why is it probably pizza?"
Stoned Roommates Chilling,"What's a conspiracy theory you secretly kind of believe, even though you know it's probably BS?"
Stoned Roommates Chilling,"What's your biggest fear about the future? Like, the thing that keeps you up at night?"
Stoned Roommates Chilling,"Do you think aliens exist? And if they do, do you think they're laughing at us right now?"
Stoned Roommates Chilling,"If you could go back in time and give your younger self one piece of advice, what would it be?"
Stoned Roommates Chilling,What's the most overrated thing in the world? Don't hold back.
Stoned Roommates Chilling,Do you ever feel like you're living someone else's life? Like you're just going through the motions?
Stoned Roommates Chilling,What's the weirdest dream you've ever had that you still remember vividly?
Stoned Roommates Chilling,"If you could have any job in the world, regardless of skill or experience, what would it be?"
Stoned Roommates Chilling,What's the most useless talent you possess?
Stoned Roommates Chilling,"Do you think we're actually making a difference in the world, or are we just contributing to the chaos?"
Stoned Roommates Chilling,"What's one thing you wish you could change about yourself, but you're too lazy/scared to do it?"
Stoned Roommates Chilling,"Okay, real talk: what do you think happens after we die? Like, seriously."
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Drunk Friends at 3AM,<|im_start|>friend1
Anonymous Online Forum,What's a belief you hold that would get you immediately canceled if you voiced it aloud?
Anonymous Online Forum,"If you could rewrite one major historical event, even knowing the potential consequences, what would it be and why?"
Anonymous Online Forum,What's a popular trend or movement that you secretly despise and why?
Anonymous Online Forum,What's an industry or profession you think is vastly overvalued and why?
Anonymous Online Forum,What's a social norm you find completely ridiculous and pointless?
Anonymous Online Forum,What's a piece of art or entertainment that everyone raves about but you find utterly boring or offensive?
Anonymous Online Forum,What's a widely accepted piece of advice that you think is actually harmful?
Anonymous Online Forum,"What's a political view you hold that you're ashamed to admit to yourself, let alone others?"
Anonymous Online Forum,"What's a product or service that is marketed as ethical, but you believe is actually exploitative?"
Anonymous Online Forum,"What's a celebrity or public figure you secretly admire, even though they're widely disliked?"
Anonymous Online Forum,"What's a conspiracy theory you find yourself strangely drawn to, even though you know it's probably false?"
Anonymous Online Forum,What's a common act of kindness that you secretly find annoying or performative?
Anonymous Online Forum,What's a widely celebrated holiday that you actually dread?
Anonymous Online Forum,"What's a skill or talent that is considered impressive, but you find easy and overrated?"
Anonymous Online Forum,"What's a virtue that is often praised, but you think is often used to manipulate others?"
Anonymous Online Forum,"What's a type of person that society generally views positively, but you instinctively distrust?"
Anonymous Online Forum,What's a popular tourist destination that you found completely disappointing?
Anonymous Online Forum,What's a food that everyone loves but you find disgusting?
Anonymous Online Forum,"What's a habit you have that you know is bad for you, but you refuse to give up?"
Anonymous Online Forum,"What's a ""harmless"" joke that you secretly find deeply offensive?"
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Therapy Session (Internal Monologue),<|im_start|>therapist
Childhood Friends Reuniting,"Remember when we swore we'd be [insert childhood dream career]? What happened to that dream, and are you secretly glad it didn't work out?"
Childhood Friends Reuniting,What's the most embarrassing thing you did as a kid that still makes you cringe?
